href,error_msg
https://www.flashscore.com/basketball/dominican-republic/,Error inserting href https://www.flashscore.com/basketball/dominican-republic/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/dominican-republic/' for key 'urls.urls'
https://www.flashscore.com/basketball/georgia/,Error inserting href https://www.flashscore.com/basketball/georgia/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/georgia/' for key 'urls.urls'
https://www.flashscore.com/basketball/austria/,Error inserting href https://www.flashscore.com/basketball/austria/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/austria/' for key 'urls.urls'
https://www.flashscore.com/basketball/europe/eurocup/,Error inserting href https://www.flashscore.com/basketball/europe/eurocup/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/europe/eurocup/' for key 'urls.urls'
https://www.flashscore.com/basketball/bahrain/,Error inserting href https://www.flashscore.com/basketball/bahrain/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/bahrain/' for key 'urls.urls'
https://www.flashscore.com/basketball/bolivia/,Error inserting href https://www.flashscore.com/basketball/bolivia/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/bolivia/' for key 'urls.urls'
https://www.flashscore.com/basketball/switzerland/,Error inserting href https://www.flashscore.com/basketball/switzerland/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/switzerland/' for key 'urls.urls'
https://www.flashscore.com/basketball/serbia/,Error inserting href https://www.flashscore.com/basketball/serbia/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/serbia/' for key 'urls.urls'
https://www.flashscore.com/basketball/world/olympic-games/,Error inserting href https://www.flashscore.com/basketball/world/olympic-games/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/world/olympic-games/' for key 'urls.urls'
https://www.flashscore.com/basketball/indonesia/,Error inserting href https://www.flashscore.com/basketball/indonesia/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/indonesia/' for key 'urls.urls'
https://www.flashscore.com/basketball/turkmenistan/,Error inserting href https://www.flashscore.com/basketball/turkmenistan/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/turkmenistan/' for key 'urls.urls'
https://www.flashscore.com/basketball/south-korea/,Error inserting href https://www.flashscore.com/basketball/south-korea/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/south-korea/' for key 'urls.urls'
https://www.flashscore.com/basketball/latvia/,Error inserting href https://www.flashscore.com/basketball/latvia/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/latvia/' for key 'urls.urls'
https://www.flashscore.com/basketball/portugal/,Error inserting href https://www.flashscore.com/basketball/portugal/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/portugal/' for key 'urls.urls'
https://www.flashscore.com/basketball/iran/super-league/,Error inserting href https://www.flashscore.com/basketball/iran/super-league/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/iran/super-league/' for key 'urls.urls'
https://www.flashscore.com/basketball/slovenia/,Error inserting href https://www.flashscore.com/basketball/slovenia/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/slovenia/' for key 'urls.urls'
https://www.flashscore.com/basketball/ukraine/,Error inserting href https://www.flashscore.com/basketball/ukraine/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/ukraine/' for key 'urls.urls'
https://www.flashscore.com/basketball/new-zealand/,Error inserting href https://www.flashscore.com/basketball/new-zealand/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/new-zealand/' for key 'urls.urls'
https://www.flashscore.com/basketball/europe/,Error inserting href https://www.flashscore.com/basketball/europe/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/europe/' for key 'urls.urls'
https://www.flashscore.com/basketball/israel/,Error inserting href https://www.flashscore.com/basketball/israel/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/israel/' for key 'urls.urls'
https://www.flashscore.com/basketball/albania/,Error inserting href https://www.flashscore.com/basketball/albania/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/albania/' for key 'urls.urls'
https://www.flashscore.com/basketball/czech-republic/,Error inserting href https://www.flashscore.com/basketball/czech-republic/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/czech-republic/' for key 'urls.urls'
https://www.flashscore.com/basketball/croatia/,Error inserting href https://www.flashscore.com/basketball/croatia/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/croatia/' for key 'urls.urls'
https://www.flashscore.com/basketball/hungary/,Error inserting href https://www.flashscore.com/basketball/hungary/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/hungary/' for key 'urls.urls'
https://www.flashscore.com/basketball/luxembourg/,Error inserting href https://www.flashscore.com/basketball/luxembourg/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/luxembourg/' for key 'urls.urls'
https://www.flashscore.com/basketball/paraguay/,Error inserting href https://www.flashscore.com/basketball/paraguay/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/paraguay/' for key 'urls.urls'
https://www.flashscore.com/basketball/argentina/,Error inserting href https://www.flashscore.com/basketball/argentina/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/argentina/' for key 'urls.urls'
https://www.flashscore.com/basketball/finland/,Error inserting href https://www.flashscore.com/basketball/finland/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/finland/' for key 'urls.urls'
https://www.flashscore.com/basketball/montenegro/,Error inserting href https://www.flashscore.com/basketball/montenegro/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/montenegro/' for key 'urls.urls'
https://www.flashscore.com/basketball/denmark/,Error inserting href https://www.flashscore.com/basketball/denmark/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/denmark/' for key 'urls.urls'
https://www.flashscore.com/basketball/spain/acb/,Error inserting href https://www.flashscore.com/basketball/spain/acb/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/spain/acb/' for key 'urls.urls'
https://www.flashscore.com/basketball/china/,Error inserting href https://www.flashscore.com/basketball/china/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/china/' for key 'urls.urls'
https://www.flashscore.com/basketball/russia/,Error inserting href https://www.flashscore.com/basketball/russia/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/russia/' for key 'urls.urls'
https://www.flashscore.com/basketball/africa/,Error inserting href https://www.flashscore.com/basketball/africa/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/africa/' for key 'urls.urls'
https://www.flashscore.com/basketball/netherlands/,Error inserting href https://www.flashscore.com/basketball/netherlands/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/netherlands/' for key 'urls.urls'
https://www.flashscore.com/basketball/belgium/,Error inserting href https://www.flashscore.com/basketball/belgium/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/belgium/' for key 'urls.urls'
https://www.flashscore.com/basketball/romania/,Error inserting href https://www.flashscore.com/basketball/romania/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/romania/' for key 'urls.urls'
https://www.flashscore.com/basketball/philippines/,Error inserting href https://www.flashscore.com/basketball/philippines/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/philippines/' for key 'urls.urls'
https://www.flashscore.com/basketball/ireland/,Error inserting href https://www.flashscore.com/basketball/ireland/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/ireland/' for key 'urls.urls'
https://www.flashscore.com/basketball/kosovo/,Error inserting href https://www.flashscore.com/basketball/kosovo/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/kosovo/' for key 'urls.urls'
https://www.flashscore.com/basketball/cyprus/,Error inserting href https://www.flashscore.com/basketball/cyprus/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/cyprus/' for key 'urls.urls'
https://www.flashscore.com/basketball/iran/#,Error inserting href https://www.flashscore.com/basketball/iran/#: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/iran/#' for key 'urls.urls'
https://www.flashscore.com/basketball/north-macedonia/,Error inserting href https://www.flashscore.com/basketball/north-macedonia/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/north-macedonia/' for key 'urls.urls'
https://www.flashscore.com/basketball/germany/,Error inserting href https://www.flashscore.com/basketball/germany/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/germany/' for key 'urls.urls'
https://www.flashscore.com/basketball/uruguay/,Error inserting href https://www.flashscore.com/basketball/uruguay/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/uruguay/' for key 'urls.urls'
https://www.flashscore.com/basketball/south-america/,Error inserting href https://www.flashscore.com/basketball/south-america/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/south-america/' for key 'urls.urls'
https://www.flashscore.com/basketball/lithuania/,Error inserting href https://www.flashscore.com/basketball/lithuania/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/lithuania/' for key 'urls.urls'
https://www.flashscore.com/basketball/asia/,Error inserting href https://www.flashscore.com/basketball/asia/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/asia/' for key 'urls.urls'
https://www.flashscore.com/basketball/world/world-cup/,Error inserting href https://www.flashscore.com/basketball/world/world-cup/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/world/world-cup/' for key 'urls.urls'
https://www.flashscore.com/basketball/japan/,Error inserting href https://www.flashscore.com/basketball/japan/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/japan/' for key 'urls.urls'
https://www.flashscore.com/basketball/iran/,Error inserting href https://www.flashscore.com/basketball/iran/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/iran/' for key 'urls.urls'
https://www.flashscore.com/basketball/saudi-arabia/,Error inserting href https://www.flashscore.com/basketball/saudi-arabia/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/saudi-arabia/' for key 'urls.urls'
https://www.flashscore.com/basketball/qatar/,Error inserting href https://www.flashscore.com/basketball/qatar/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/qatar/' for key 'urls.urls'
https://www.flashscore.com/basketball/united-kingdom/,Error inserting href https://www.flashscore.com/basketball/united-kingdom/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/united-kingdom/' for key 'urls.urls'
https://www.flashscore.com/basketball/europe/euroleague/,Error inserting href https://www.flashscore.com/basketball/europe/euroleague/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/europe/euroleague/' for key 'urls.urls'
https://www.flashscore.com/basketball/kazakhstan/,Error inserting href https://www.flashscore.com/basketball/kazakhstan/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/kazakhstan/' for key 'urls.urls'
https://www.flashscore.com/basketball/france/,Error inserting href https://www.flashscore.com/basketball/france/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/france/' for key 'urls.urls'
https://www.flashscore.com/basketball/puerto-rico/,Error inserting href https://www.flashscore.com/basketball/puerto-rico/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/puerto-rico/' for key 'urls.urls'
https://www.flashscore.com/basketball/spain/,Error inserting href https://www.flashscore.com/basketball/spain/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/spain/' for key 'urls.urls'
https://www.flashscore.com/basketball/iceland/,Error inserting href https://www.flashscore.com/basketball/iceland/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/iceland/' for key 'urls.urls'
https://www.flashscore.com/basketball/colombia/,Error inserting href https://www.flashscore.com/basketball/colombia/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/colombia/' for key 'urls.urls'
https://www.flashscore.com/basketball/brazil/,Error inserting href https://www.flashscore.com/basketball/brazil/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/brazil/' for key 'urls.urls'
https://www.flashscore.com/basketball/greece/,Error inserting href https://www.flashscore.com/basketball/greece/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/greece/' for key 'urls.urls'
https://www.flashscore.com/basketball/vietnam/,Error inserting href https://www.flashscore.com/basketball/vietnam/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/vietnam/' for key 'urls.urls'
https://www.flashscore.com/basketball/europe/eurobasket/,Error inserting href https://www.flashscore.com/basketball/europe/eurobasket/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/europe/eurobasket/' for key 'urls.urls'
https://www.flashscore.com/basketball/chile/,Error inserting href https://www.flashscore.com/basketball/chile/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/chile/' for key 'urls.urls'
https://www.flashscore.com/basketball/norway/,Error inserting href https://www.flashscore.com/basketball/norway/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/norway/' for key 'urls.urls'
https://www.flashscore.com/basketball/france/lnb/,Error inserting href https://www.flashscore.com/basketball/france/lnb/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/france/lnb/' for key 'urls.urls'
https://www.flashscore.com/basketball/taiwan/,Error inserting href https://www.flashscore.com/basketball/taiwan/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/taiwan/' for key 'urls.urls'
https://www.flashscore.com/basketball/bosnia-and-herzegovina/,Error inserting href https://www.flashscore.com/basketball/bosnia-and-herzegovina/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/bosnia-and-herzegovina/' for key 'urls.urls'
https://www.flashscore.com/basketball/poland/,Error inserting href https://www.flashscore.com/basketball/poland/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/poland/' for key 'urls.urls'
https://www.flashscore.com/basketball/tajikistan/,Error inserting href https://www.flashscore.com/basketball/tajikistan/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/tajikistan/' for key 'urls.urls'
https://www.flashscore.com/basketball/world/,Error inserting href https://www.flashscore.com/basketball/world/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/world/' for key 'urls.urls'
https://www.flashscore.com/basketball/bulgaria/,Error inserting href https://www.flashscore.com/basketball/bulgaria/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/bulgaria/' for key 'urls.urls'
https://www.flashscore.com/basketball/slovakia/,Error inserting href https://www.flashscore.com/basketball/slovakia/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/slovakia/' for key 'urls.urls'
https://www.flashscore.com/basketball/north-central-america/,Error inserting href https://www.flashscore.com/basketball/north-central-america/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/north-central-america/' for key 'urls.urls'
https://www.flashscore.com/basketball/turkey/super-lig/,Error inserting href https://www.flashscore.com/basketball/turkey/super-lig/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/turkey/super-lig/' for key 'urls.urls'
https://www.flashscore.com/basketball/australia/,Error inserting href https://www.flashscore.com/basketball/australia/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/australia/' for key 'urls.urls'
https://www.flashscore.com/basketball/italy/lega-a/,Error inserting href https://www.flashscore.com/basketball/italy/lega-a/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/italy/lega-a/' for key 'urls.urls'
https://www.flashscore.com/basketball/turkey/,Error inserting href https://www.flashscore.com/basketball/turkey/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/turkey/' for key 'urls.urls'
https://www.flashscore.com/basketball/usa/nba/,Error inserting href https://www.flashscore.com/basketball/usa/nba/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/usa/nba/' for key 'urls.urls'
https://www.flashscore.com/basketball/italy/,Error inserting href https://www.flashscore.com/basketball/italy/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/italy/' for key 'urls.urls'
https://www.flashscore.com/basketball/venezuela/,Error inserting href https://www.flashscore.com/basketball/venezuela/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/venezuela/' for key 'urls.urls'
https://www.flashscore.com/basketball/europe/champions-league/,Error inserting href https://www.flashscore.com/basketball/europe/champions-league/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/europe/champions-league/' for key 'urls.urls'
https://www.flashscore.com/basketball/estonia/,Error inserting href https://www.flashscore.com/basketball/estonia/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/estonia/' for key 'urls.urls'
https://www.flashscore.com/basketball/canada/,Error inserting href https://www.flashscore.com/basketball/canada/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/canada/' for key 'urls.urls'
https://www.flashscore.com/basketball/mexico/,Error inserting href https://www.flashscore.com/basketball/mexico/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/mexico/' for key 'urls.urls'
https://www.flashscore.com/basketball/sweden/,Error inserting href https://www.flashscore.com/basketball/sweden/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/sweden/' for key 'urls.urls'
https://www.flashscore.com/basketball/thailand/,Error inserting href https://www.flashscore.com/basketball/thailand/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/thailand/' for key 'urls.urls'
https://www.flashscore.com/basketball/usa/,Error inserting href https://www.flashscore.com/basketball/usa/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/usa/' for key 'urls.urls'
https://www.flashscore.com/basketball/belarus/,Error inserting href https://www.flashscore.com/basketball/belarus/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/belarus/' for key 'urls.urls'
https://www.flashscore.com/basketball/australia-oceania/,Error inserting href https://www.flashscore.com/basketball/australia-oceania/: 1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/australia-oceania/' for key 'urls.urls'
