Event Time UTC;Event Time;Home Team;Away Team;1st Quarter;2nd Quarter;3rd Quarter;4th Quarter;Overtime Home;1st Quarter Away;2nd Quarter Away;3rd Quarter Away;4th Quarter Away;Overtime Away;MatchId
1680116400;29.03.2023-21:00;Tenerife;Manresa;28;23;17;32;;28;31;8;20;;g_3_CbOSqht1
1679853600;26.03.2023-20:00;Basket Zaragoza;Valencia;24;14;20;28;;22;14;19;20;;g_3_WvcHGQjQ
1679848200;26.03.2023-18:30;Fuenlabrada;Real Madrid;13;18;26;21;;29;21;32;20;;g_3_OEcDH6yK
1679842800;26.03.2023-17:00;Baskonia;Bilbao;24;27;27;22;;17;10;25;26;;g_3_Cb0MeAdA
1679828400;26.03.2023-13:00;Tenerife;Gran Canaria;19;14;26;22;;11;20;20;26;;g_3_UZAHdjs4
1679826600;26.03.2023-12:30;Real Betis;Unicaja;20;10;20;16;;25;15;18;21;;g_3_WlhEcWRc
1679773500;25.03.2023-20:45;Barcelona;Joventut Badalona;18;21;28;20;;13;17;21;20;;g_3_byf6ahco
1679773500;25.03.2023-20:45;Granada;Murcia;26;23;25;14;;16;17;22;12;;g_3_xShAbCCi
1679763600;25.03.2023-18:00;Basquet Girona;Manresa;12;21;21;25;;12;27;27;20;;g_3_IsxbetoU
1679763600;25.03.2023-18:00;Obradoiro CAB;Breogan;17;24;10;16;;14;19;22;19;;g_3_KjOPj0go
1679247000;19.03.2023-18:30;Real Madrid;Baskonia;27;18;24;19;;15;24;31;25;;g_3_OKxfdMVN
1679245200;19.03.2023-18:00;Valencia;Granada;20;18;24;18;;18;16;18;20;;g_3_pOb9InMD
1679241600;19.03.2023-17:00;Unicaja;Barcelona;24;15;18;24;;16;19;26;25;;g_3_tjYS9fID
1679225400;19.03.2023-12:30;Bilbao;Basquet Girona;19;23;19;23;;16;21;18;22;;g_3_Shqobr1B
1679225400;19.03.2023-12:30;Breogan;Basket Zaragoza;20;19;21;11;;28;21;24;14;;g_3_AHYkc2GH
1679171400;18.03.2023-21:30;Gran Canaria;Murcia;27;30;18;32;;27;10;23;29;;g_3_l2psaOo5
1679168700;18.03.2023-20:45;Joventut Badalona;Fuenlabrada;29;18;30;26;;25;13;22;26;;g_3_txow04Wb
1679158800;18.03.2023-18:00;Manresa;Real Betis;19;29;26;17;;17;19;33;15;;g_3_2onZ0pHh
1679158800;18.03.2023-18:00;Obradoiro CAB;Tenerife;11;10;14;23;;22;13;19;24;;g_3_KMdU1Q1n
1678647600;12.03.2023-20:00;Fuenlabrada;Breogan;16;23;18;16;;24;14;37;17;;g_3_6JhQ26nt
1678642200;12.03.2023-18:30;Barcelona;Manresa;32;24;21;16;;18;11;20;23;;g_3_SnUOAz37
1678636800;12.03.2023-17:00;Real Betis;Baskonia;26;14;18;13;;23;26;14;20;;g_3_YPUKBGm1
1678620600;12.03.2023-12:30;Basquet Girona;Valencia;19;13;20;23;;26;20;9;24;;g_3_fstJf9fJ
1678620600;12.03.2023-12:30;Murcia;Unicaja;26;18;23;18;;19;14;23;24;;g_3_Q1l2bief
1678620600;12.03.2023-12:30;Real Madrid;Bilbao;11;27;26;22;;15;13;13;24;;g_3_GjsFekuD
1678563900;11.03.2023-20:45;Basket Zaragoza;Obradoiro CAB;13;12;16;37;;16;13;28;22;;g_3_KOm6cBA0
1678563900;11.03.2023-20:45;Tenerife;Joventut Badalona;16;20;26;23;;12;9;23;24;;g_3_bFnAdVP6
1678554000;11.03.2023-18:00;Granada;Gran Canaria;19;20;21;20;;13;7;20;26;;g_3_ERpbaXul
1678042800;05.03.2023-20:00;Baskonia;Granada;22;34;23;26;;19;20;24;18;;g_3_fZVGCdYf
1678037400;05.03.2023-18:30;Valencia;Tenerife;19;16;22;20;;24;20;8;20;;g_3_xbyCDxJl
1678032000;05.03.2023-17:00;Obradoiro CAB;Real Madrid;14;16;27;21;;24;20;22;18;;g_3_b7x8EI3r
1678017600;05.03.2023-13:00;Gran Canaria;Bilbao;29;16;26;23;;14;23;19;15;;g_3_W2eg0DQs
1678015800;05.03.2023-12:30;Joventut Badalona;Murcia;20;19;27;28;;17;19;14;18;;g_3_Ug9R4gIQ
1677959100;04.03.2023-20:45;Basket Zaragoza;Barcelona;19;27;23;16;;12;12;30;29;;g_3_MT5J6FmE
1677959100;04.03.2023-20:45;Breogan;Real Betis;22;25;22;23;22;22;20;27;23;23;g_3_0K4N5Z2K
1677949200;04.03.2023-18:00;Manresa;Fuenlabrada;23;27;14;28;;18;18;14;28;;g_3_KORzrWAD
1677949200;04.03.2023-18:00;Unicaja;Basquet Girona;22;19;31;22;;16;19;18;17;;g_3_6LNWrCe7
1676228400;12.02.2023-20:00;Unicaja;Baskonia;16;23;19;20;22;15;15;21;27;23;g_3_Y7POpYQf
1676223000;12.02.2023-18:30;Murcia;Real Madrid;20;12;23;25;;20;20;31;17;;g_3_6ogSoEBl
1676217600;12.02.2023-17:00;Valencia;Gran Canaria;16;23;17;26;;22;18;19;17;;g_3_tSktJbeR
1676201400;12.02.2023-12:30;Barcelona;Breogan;20;15;23;24;;12;12;13;17;;g_3_SffOnfdr
1676144700;11.02.2023-20:45;Basquet Girona;Obradoiro CAB;18;26;24;25;;21;18;18;19;;g_3_dC3hhGYK
1676144700;11.02.2023-20:45;Real Betis;Joventut Badalona;15;17;21;14;;19;12;22;18;;g_3_AF7dizlR
1676134800;11.02.2023-18:00;Bilbao;Granada;20;22;22;26;;18;16;21;18;;g_3_zcFqfx48
1676134800;11.02.2023-18:00;Fuenlabrada;Basket Zaragoza;20;13;22;16;;31;21;22;11;;g_3_EmEmgdJE
1675623600;05.02.2023-20:00;Granada;Fuenlabrada;26;23;17;17;;21;11;24;15;;g_3_nsM1VhR7
1675618200;05.02.2023-18:30;Real Madrid;Tenerife;28;22;20;18;;20;16;23;18;;g_3_UinxKvtL
1675612800;05.02.2023-17:00;Baskonia;Basket Zaragoza;16;23;30;22;;23;9;22;25;;g_3_nTdXKKQE
1675596600;05.02.2023-12:30;Barcelona;Valencia;14;18;25;24;;24;19;16;16;;g_3_QRXhXEde
1675596600;05.02.2023-12:30;Breogan;Basquet Girona;20;13;31;28;;20;19;20;11;;g_3_8jNcWYB1
1675539900;04.02.2023-20:45;Gran Canaria;Unicaja;19;21;22;26;;16;21;21;12;;g_3_KUUpZzSr
1675539900;04.02.2023-20:45;Obradoiro CAB;Bilbao;25;17;28;7;;20;15;17;12;;g_3_0plEvc4L
1675530000;04.02.2023-18:00;Joventut Badalona;Manresa;20;11;21;21;;16;11;17;21;;g_3_ILrJwHJR
1675530000;04.02.2023-18:00;Real Betis;Murcia;20;22;23;19;;14;15;21;21;;g_3_EiUlYfsk
1675018800;29.01.2023-20:00;Basket Zaragoza;Real Betis;24;18;15;19;22;18;12;28;18;23;g_3_MgkAuwkF
1675013400;29.01.2023-18:30;Gran Canaria;Obradoiro CAB;15;24;17;19;;17;15;20;16;;g_3_ETo2saK2
1675008000;29.01.2023-17:00;Murcia;Baskonia;19;17;20;24;;23;18;22;24;;g_3_8xbTL0B8
1674993600;29.01.2023-13:00;Unicaja;Valencia;19;28;24;31;;15;18;32;21;;g_3_SWk6tJZ8
1674991800;29.01.2023-12:30;Manresa;Real Madrid;22;14;13;20;;32;25;19;18;;g_3_CO7JIFs2
1674935100;28.01.2023-20:45;Basquet Girona;Barcelona;12;24;17;20;;22;13;27;22;;g_3_KM4ocHY7
1674935100;28.01.2023-20:45;Bilbao;Joventut Badalona;13;16;10;12;;15;20;24;11;;g_3_YX8FJeSe
1674925200;28.01.2023-18:00;Breogan;Granada;29;30;24;16;;12;12;18;25;;g_3_nHA7LHcq
1674923400;28.01.2023-17:30;Fuenlabrada;Tenerife;23;9;20;15;;25;24;22;24;;g_3_Q79BKyDk
1674408600;22.01.2023-18:30;Joventut Badalona;Gran Canaria;18;20;17;20;;31;20;17;23;;g_3_xpMR3hWt
1674405000;22.01.2023-17:30;Real Madrid;Breogan;24;22;28;17;;11;26;9;27;;g_3_tzYvQckS
1674403200;22.01.2023-17:00;Valencia;Basket Zaragoza;23;19;32;14;;14;17;18;27;;g_3_KjK08YNP
1674387000;22.01.2023-12:30;Barcelona;Bilbao;18;29;16;25;;11;18;26;23;;g_3_vesEpVVI
1674387000;22.01.2023-12:30;Granada;Basquet Girona;16;28;16;18;;23;15;22;32;;g_3_hvu2mXo0
1674387000;22.01.2023-12:30;Obradoiro CAB;Baskonia;11;24;26;30;;19;14;23;30;;g_3_t0Ld9E8J
1674330300;21.01.2023-20:45;Manresa;Unicaja;31;15;21;19;22;20;31;18;17;23;g_3_WUw6ni16
1674330300;21.01.2023-20:45;Tenerife;Real Betis;18;23;28;19;;11;19;16;18;;g_3_QiwAoBGC
1674320400;21.01.2023-18:00;Fuenlabrada;Murcia;23;15;17;17;;14;17;25;32;;g_3_z3pclDWg
1673798400;15.01.2023-17:00;Baskonia;Joventut Badalona;25;14;28;17;;17;21;26;19;;g_3_fJVSSa59
1673798400;15.01.2023-17:00;Murcia;Barcelona;13;20;24;15;;17;20;28;21;;g_3_Y9UWRJKF
1673798400;15.01.2023-17:00;Valencia;Manresa;23;19;31;30;;15;36;23;18;;g_3_SWTzRwzM
1673782200;15.01.2023-12:30;Granada;Real Madrid;14;10;22;16;;19;13;25;25;;g_3_2knkjZ1s
1673782200;15.01.2023-12:30;Real Betis;Obradoiro CAB;17;16;21;17;;20;16;19;18;;g_3_dCogkgHm
1673725500;14.01.2023-20:45;Basket Zaragoza;Tenerife;16;17;17;23;22;24;18;15;16;23;g_3_pY5IeevK
1673725500;14.01.2023-20:45;Gran Canaria;Fuenlabrada;19;26;30;35;;19;10;14;22;;g_3_SdeNfFgQ
1673719200;14.01.2023-19:00;Basquet Girona;Bilbao;22;15;25;22;;14;14;14;17;;g_3_IRDWXinD
1673715600;14.01.2023-18:00;Unicaja;Breogan;27;26;21;26;;15;12;21;18;;g_3_6s7EdyPD
1673204400;08.01.2023-20:00;Bilbao;Murcia;27;23;27;22;;21;19;20;21;;g_3_vyFSYXW6
1673204400;08.01.2023-20:00;Tenerife;Unicaja;21;20;31;19;;20;26;18;20;;g_3_dCPNZDH0
1673199000;08.01.2023-18:30;Baskonia;Valencia;15;25;18;27;;15;23;23;18;;g_3_xryOTuj3
1673193600;08.01.2023-17:00;Manresa;Basket Zaragoza;25;15;13;12;;15;12;27;18;;g_3_r9LJzf2f
1673177400;08.01.2023-12:30;Real Madrid;Gran Canaria;25;25;26;29;;23;13;24;25;;g_3_bixKULzc
1673120700;07.01.2023-20:45;Barcelona;Real Betis;29;25;22;28;;21;15;16;18;;g_3_WAskfr3F
1673120700;07.01.2023-20:45;Joventut Badalona;Granada;21;20;33;16;;13;24;16;19;;g_3_AeNBxGXs
1673110800;07.01.2023-18:00;Breogan;Obradoiro CAB;14;18;17;15;;9;14;17;19;;g_3_lnMFyzml
1673110800;07.01.2023-18:00;Fuenlabrada;Basquet Girona;12;23;21;19;;21;19;28;15;;g_3_hKroeOm9
1673004600;06.01.2023-12:30;Murcia;Tenerife;13;16;29;27;;18;12;19;15;;g_3_tMEdlhFd
1672864200;04.01.2023-21:30;Unicaja;Bilbao;23;19;28;22;;20;21;15;23;;g_3_bcqsd4Y2
1672860600;04.01.2023-20:30;Obradoiro CAB;Manresa;21;21;28;21;22;19;30;23;19;23;g_3_2VFhkYaj
1672855200;04.01.2023-19:00;Basket Zaragoza;Breogan;20;23;19;17;22;25;18;22;14;23;g_3_pfuwcpJd
1672777800;03.01.2023-21:30;Granada;Baskonia;20;18;20;26;;25;16;30;24;;g_3_pllx6xbd
1672774200;03.01.2023-20:30;Basquet Girona;Joventut Badalona;19;22;18;20;;17;11;15;23;;g_3_YeBljEpp
1672771500;03.01.2023-19:45;Real Betis;Gran Canaria;26;24;16;22;;24;23;15;20;;g_3_WnPMffxT
1672768800;03.01.2023-19:00;Valencia;Fuenlabrada;18;22;26;26;;13;23;17;33;;g_3_lOZHezNM
1672689600;02.01.2023-21:00;Real Madrid;Barcelona;26;18;13;21;;28;14;20;25;;g_3_jwHEdG7G
1703966400;30.12.2023-21:00;Manresa;Basquet Girona;14;22;27;19;;23;8;22;26;;g_3_dGHAcdhA
1703957400;30.12.2023-18:30;Fuenlabrada;Obradoiro CAB;8;25;21;25;;18;21;22;21;;g_3_IPI6bxw4
1703881800;29.12.2023-21:30;Tenerife;Granada;35;17;24;22;;17;18;12;19;;g_3_0lO1aINc
1703878200;29.12.2023-20:30;Joventut Badalona;Real Betis;26;26;20;21;;16;18;25;22;;g_3_McPc0b8i
